imdb_id,poster_path,wiki_link,original_title,tag
tt0426016,https://upload.wikimedia.org/wikipedia/en/thumb/1/1a/Heera-Moti.jpg/220px-Heera-Moti.jpg,https://en.wikipedia.org/wiki/Heera-Moti,Heera-Moti,action shatrughansinha reenaroy dannydenzongpa bindu ajit neelam is an independ young woman who is skill with self-defens and live with her guardian who is also the truste of lord krishna temple. although her guardian with hi ...
tt0378071,https://upload.wikimedia.org/wikipedia/en/4/4c/Hum_Tere_Aashiq_Hain.jpg,https://en.wikipedia.org/wiki/Hum_Tere_Ashiq_Hain,Hum Tere Ashiq Hain,drama jeetendra hemamalini amjadkhan shreeramlagoo omshivpuri recent widow thakur vikram singh left india the same time the british did along with hi son anand for england. year later anand ha grown up to be a doctor and travel to bombay ...
tt0283417,https://upload.wikimedia.org/wikipedia/en/thumb/1/1a/Jaan-E-Bahaar.jpg/220px-Jaan-E-Bahaar.jpg,https://en.wikipedia.org/wiki/Jaan-e-Bahaar,Jaan-E-Bahaar,drama family romance asrani manjuasrani masterbhagwan kanhaiyalalchaturvedi jagdeep kuku rai belong to a wealthi famili and live with her businessman dad and housewif mom. sinc she is of marriag age her parent want her to get marri to a young man name ajit ...
tt0079355,https://upload.wikimedia.org/wikipedia/en/thumb/3/32/Jaani_Dushman.jpg/220px-Jaani_Dushman.jpg,https://en.wikipedia.org/wiki/Jaani_Dushman,Jaani Dushman,action horror mystery sunildutt sanjeevkumar shatrughansinha vinodmehra vikrammakandar a remot mountain region is terror by a legendari monster that regularli abduct newlyw bride and kill them.
tt0357809,https://upload.wikimedia.org/wikipedia/en/thumb/6/6d/Janta_Hawaldar.jpg/220px-Janta_Hawaldar.jpg,https://en.wikipedia.org/wiki/Janata_Havaldar,Janta Hawaldar,crime drama romance rajeshkhanna ashokkumar yogeetabali mehmood hemamalini janta a beauti naiv simpl mind young man who want to join the polic forc in the follow of both hi grandfath and hi father after get refus then accept him with the ...
tt0079364, ,https://en.wikipedia.org/wiki/Jeena_Yahan,Jeena Yahan,drama shekharkapur shabanaazmi dinapathak sunder purohit add a plot »
tt0386556,https://upload.wikimedia.org/wikipedia/en/9/93/Jhoota_Kahin_Ka.jpg,https://en.wikipedia.org/wiki/Jhoota_Kahin_Ka,Jhoota Kahin Ka,comedy drama romance rishikapoor neetusingh  the rai famili consist of four: father mother shanti and two son ajay and vijay. while travel on a ship they run into a sever storm which lead to the ship capsiz and the ...
tt0079386,https://upload.wikimedia.org/wikipedia/en/thumb/8/86/Kaalapatthar.jpg/220px-Kaalapatthar.jpg,https://en.wikipedia.org/wiki/Kaala_Patthar,Kaala Patthar,action drama history amitabhbachchan shashikapoor shatrughansinha rakheegulzar parveenbabi inspir by a true mine tragedi the film is about peopl from all walk of life show courag and charact to fight the forc of nature.
tt0381313,https://upload.wikimedia.org/wikipedia/en/3/30/Khandaan_%281979_film%29.jpg,https://en.wikipedia.org/wiki/Khandaan_(1979_film),Khandaan,drama romance jeetendra sulakshanapandit bindiyagoswami rakeshroshan niruparoy the srivastav famili consist of gaurishankar hi wife savitri two son vika and ravi who lead a poor lifestyl in a villag in india. when the son grow up vika get marri to ...
tt0151285,https://upload.wikimedia.org/wikipedia/en/thumb/1/10/Lahu-ke-do-rang-1979.jpg/220px-Lahu-ke-do-rang-1979.jpg,https://en.wikipedia.org/wiki/Lahu_Ke_Do_Rang_(1979_film),Lahu Ke Do Rang,action drama vinodkhanna shabanaazmi dannydenzongpa helen ranjeet inspector raj singh' father wa kill by shankar and hi men for gold. year later he locat them but also find that he ha a step brother suraj who work for shankar now known as devi dayal.
